Country Name,Country Code,Series Name,Series Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,66571000000,70511000000,77916000000,83861000000,88611000000,99923000000,1.06476E+11,1.15241E+11,1.13758E+11,1.28494E+11,1.56706E+11,1.56786E+11,1.5305E+11,1.48299E+11,1.68656E+11,1.98453E+11,2.19803E+11,2.37682E+11,2.9027E+11,2.58207E+11,3.04099E+11,3.22554E+11,3.07091E+11,3.37253E+11,3.25891E+11,3.19548E+11,3.7349E+11,4.03095E+11,4.7019E+11,4.75656E+11
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,GNI (current US$),NY.GNP.MKTP.CD,1.73664E+11,1.95561E+11,1.90907E+11,2.0385E+11,2.40111E+11,2.37117E+11,2.11806E+11,2.16933E+11,2.13817E+11,1.95572E+11,1.94808E+11,2.13151E+11,2.61614E+11,3.01042E+11,3.15423E+11,3.37066E+11,3.88793E+11,4.35656E+11,4.01585E+11,3.95556E+11,4.33141E+11,4.09815E+11,4.31351E+11,4.43168E+11,3.7821E+11,3.95808E+11,4.13349E+11,4.50536E+11,4.43323E+11,4.39547E+11
Austria,AUT,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,14.68675,14.58259,14.52773,14.37333,14.25214,14.43477,13.85215,13.79836,13.6756,13.51243,13.42029,13.5002,13.03601,12.54891,12.95307,13.04785,13.68835,13.54311,13.63928,13.81257,13.27622,13.07331,13.20106,13.28836,12.99709,12.72081,12.37719,12.00558,12.16069,12.2143
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,3569407,3652067,3684501,3851283,3881434,3851512,3835998,3875146,3900723,3899806,3895879,3971245,4014293,3919678,4046427,4114656,4201262,4243342,4285255,4302610,4332472,4379686,4423190,4444847,4497039,4579306,4608584,4642407,4662739,4638300
Austria,AUT,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,51008642000,51652390000,50634215000,54333324000,59222460000,62518930000,69880790000,75300930000,80229550000,92590450000,98392900000,1.02755E+11,1.03342E+11,1.13582E+11,1.23531E+11,1.36166E+11,1.49261E+11,1.56425E+11,1.30217E+11,1.51683E+11,1.6731E+11,1.71989E+11,1.73102E+11,1.77855E+11,1.82769E+11,1.87409E+11,1.99644E+11,2.13682E+11,2.21452E+11,1.96481E+11
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,97,98.90822245,98.59799957,100,98.84778595,98.97737885,99.11943817,99.5,99.46292114,99.66230011,99.87506866,99.94766235,99.9,100,100,100,100,100,100,100,100,100
Azerbaijan,AZE,GNI (current US$),NY.GNP.MKTP.CD,..,..,1575393848,1194096387,2413479414,3167324031,3953203902,4461488757,4768012932,5178072731,5562874939,6042087549,7024617521,8166818630,11734666355,18470079300,28219348253,43831089798,41022888018,49741091453,61441003133,65735414850,70472288892,73082959455,51379123217,35591412539,39321618332,44853080881,46318529412,42422882353
Azerbaijan,AZE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,61.84233,62.4678,63.34151,64.40663,65.52917,66.52344,67.33698,67.87469,68.28436,68.41394,69.03427,69.43603,70.02112,70.72025,70.65564,69.83482,68.78462,68.35542,67.5676,68.05525,68.28771,66.6916,66.51324,66.74039,67.65498,68.18535,68.3758,68.19746,66.68171,66.96999
